Target Gene Symbol,n_sgrnas,z_scored_avg_lfc,p_value,FDR
ACBD4,7,0.7707806373228189,0.7762213400745629,0.9047908393801232
ACBD5,6,-0.2487067119725422,0.37135779378448175,0.6927711594428737
ACBD6,6,-0.5820902432610714,0.2575919465097011,0.6004647041570298
ACBD7,6,0.8463217624784036,0.8002457615208871,0.915231753345415
ACCS,9,0.8366420222823988,0.7972494406387339,0.9142848133890297
ACCSL,6,-1.1377020386286223,0.11752305718172651,0.3950993322207393
ACD,8,-0.3907874559718481,0.31972447422153927,0.6560849576286092
ACE,6,0.5318402565950141,0.6908575934536032,0.8680207792589583
ACE2,8,-1.6884061810926727,0.046943998057542964,0.21549843376488373
ACER1,5,-0.7470073669650534,0.21041615123590068,0.5497757982939598
ACER2,4,1.362484746255537,0.9220026847174612,0.9670227670910698
ACER3,6,-0.6684999617174182,0.2322252891614606,0.5740288879317169
ACHE,6,-0.18204691240429485,0.39698270978965694,0.7110108183773803
ACIN1,10,-0.32698405415751425,0.3423665689941583,0.6721636737288327
ACKR1,7,-0.0731213335429134,0.4403874253235527,0.7371223358606322
ACKR2,6,0.7190792835108264,0.7589397052583191,0.8975302184900962
ACKR3,6,-0.5465870838553362,0.2684757379526156,0.6116680686181742
ACKR4,8,0.1665508962557161,0.5403253910761285,0.7943709039987601
ACLY,6,-0.9256361684833245,0.16456552563693133,0.4835988257331628
ACMSD,7,-0.6509911871009395,0.23724345322512155,0.5790593052147167
ACO1,6,1.0379963243987154,0.854440582785408,0.9395519521294092
ACO2,6,-1.4310116502176116,0.07078828565770831,0.2840449795162083
ACOD1,6,-0.054838471350998425,0.4478294841544618,0.7417880510686603
ACOT1,8,-0.4730392822758092,0.29194741916347866,0.6330071186789247
ACOT11,8,-4.625506676275593,0.004106662321983737,0.040104223824152616
ACOT12,6,-0.3588523437079563,0.33094102905853484,0.6651130316569386
ACOT13,7,1.086573405504648,0.8665594994145248,0.9444184188666316
ACOT2,8,0.056415075496554154,0.4938691747910059,0.7684849790144251
ACOT4,5,1.094112983746812,0.8683793210148616,0.9449088870271641
ACOT7,10,-1.8102196872745924,0.039463124213054604,0.19071181351276406
ACOT8,6,-1.4811684403778624,0.06505506910225968,0.2689836517153439
ACOT9,9,0.6207374866694165,0.7242262890780844,0.8838255831907584
ACOX1,7,0.9591674330136588,0.8333575079488936,0.9306922237433881
ACOX2,8,-1.7801379609708525,0.04114618660611519,0.19599206776776087
ACOX3,8,-1.4417930539447945,0.0695047184649622,0.2810110452908742
ACOXL,4,-1.4039208208511935,0.0741416789525419,0.2925527745792503
ACP1,7,-5.859534171343111,0.00025110202279943975,0.002911580395813897
ACP2,6,-0.1817478202257303,0.39709943498165023,0.7110708753885016
ACP3,7,0.7229875738238896,0.7602696624198848,0.8984918561009306
ACP4,5,-0.19411151265408577,0.39228680442123287,0.7082362173289158
ACP5,6,-0.45845236613406126,0.29675525797404434,0.637370463622259
ACP6,7,-0.24906997888532553,0.3712203870290922,0.6926487344023105
ACP7,8,-3.2018584162989665,0.0081413972649837,0.06067317653813553
ACR,5,0.1279451278125989,0.5239797032385298,0.785075391541688
ACRBP,6,1.3672394457115629,0.9227553182515043,0.967465556802653
ACRV1,4,-0.04686499198827765,0.4510874069045374,0.743518548001025
ACSBG1,6,-0.740075280352944,0.21229857546522932,0.5508798950422418
ACSBG2,9,0.2812859283503022,0.5889179536964676,0.8206853840195052
ACSF2,9,-0.14684293084636119,0.41082052324633506,0.7196402204197506
ACSF3,10,0.23637269019116838,0.569930288857901,0.8105217201378062
ACSL1,6,0.3160685696165995,0.6035442785084942,0.8296579739261851
ACSL3,3,-1.9307811773324932,0.03355610120466338,0.17000497113269744
ACSL4,7,-2.110500156235506,0.02652994810233563,0.1444158689750403
ACSL5,5,-0.089218738637488,0.43386896425468946,0.7325874336611852
ACSL6,5,0.15664548234377654,0.5361275968275462,0.7916387849184494
ACSM2A,6,-2.846207695557502,0.011244032144038737,0.07643269527656436
ACSM3,8,-0.5807630567275571,0.2579937657007487,0.6006775399362547
ACSM4,4,-0.5822221765277114,0.2575520234433185,0.6004647041570298
ACSM5,4,1.1223046141997506,0.8750362346443891,0.9478547013241783
ACSM6,6,-1.7319051640974346,0.04405977012369536,0.20576850089683257
ACSS1,4,-0.5338677502333331,0.27244439136550924,0.6154387352739568
ACSS2,6,-1.394748601981822,0.0753193766100688,0.29577779743463045
ACSS3,7,-0.9853214268594978,0.150412474066918,0.4592976670909612
ACTA1,10,-6.01987456123931,8.603747140394495e-05,0.0010169876942343575
ACTA2,7,1.037999109383344,0.8544412969330704,0.9395519521294092
ACTB,5,-2.072073640094225,0.027892247868581778,0.14996353261612594
ACTBL2,6,0.10125659814431438,0.5127120178917394,0.7782937350907221
ACTC1,7,1.5791628159962063,0.9500245617049163,0.9789955816936177
ACTG1,8,-2.38192871090107,0.01876447738249022,0.11199883499249823
ACTG2,8,1.6791558133252609,0.9593774003823856,0.9824861491356965
ACTL10,9,-0.09637687341010522,0.43098102211213385,0.7308037104654833
ACTL6A,8,-14.244231310566079,4.1765111286628574e-252,1.0889502841957012e-250
ACTL6B,9,-0.4614049192615728,0.29577797578730713,0.6365026047579796
ACTL7A,5,-1.2610220926621163,0.09504033823923555,0.345213866642688
ACTL7B,4,0.591891073513146,0.7135982009298192,0.8796260440741933
ACTL8,5,-0.3333371787713874,0.3400706782590246,0.6706807137418868
ACTL9,3,0.5751884337641482,0.7073551325858519,0.875717684754517
ACTMAP,4,-1.1227516203090389,0.12051641625927287,0.4010203401597557
ACTN1,5,0.2695082224444884,0.5839476262309831,0.8182288702762965
ACTN2,7,-1.2304891862372107,0.10022788924964512,0.35853740105468085
ACTN3,2,1.7360887661640645,0.9639807104684597,0.9838818405892481
ACTN4,3,-0.08659832365963728,0.43492783116188144,0.732868640971122
ACTR10,7,-18.824501456269356,0.0,0.0
ACTR1A,5,-0.9136373543647034,0.16748537977160433,0.4879336560181792
ACTR1B,6,-1.0477644332856084,0.13632534609806754,0.4327974366453449
ACTR2,3,-2.2918525114001955,0.020990194641473357,0.12161814126675648
ACTR3,7,-1.2805443498407514,0.09185746770302866,0.33830089930337054
ACTR3B,3,0.668659158260535,0.7414398503260051,0.8906257241012746
ACTR3C,10,-1.5155707561640022,0.06146039010442787,0.25898830821397456
ACTR5,7,-10.77880437149189,4.6263008347668685e-93,8.503474280223386e-92
ACTR6,9,-15.36694512346579,0.0,0.0
ACTR8,8,-8.803173131274988,2.9248357505677557e-38,4.533015144783869e-37
ACTRT1,4,0.05722101803112454,0.49420666268980246,0.7686528113698115
ACTRT2,5,-1.3909725847097372,0.07581052582786704,0.2970884982463455
ACTRT3,3,0.17061415835774987,0.5420478892981732,0.7951267492288258
ACVR1,2,-0.4973110423516332,0.28406032581781476,0.6262796975546472
ACVR1B,3,-1.3157296416184532,0.08638542445811684,0.32406551222096014
ACVR1C,5,-0.9514628777665833,0.15836379055064465,0.4735360801876317
ACVR2A,7,2.199454649065205,0.9894469222179078,0.9965161440373974
ACVR2B,5,-0.13227639301727243,0.41660223834399074,0.723247134490555
ACVRL1,6,-0.6964801017080186,0.22432615247157,0.5649654113823299
ACY1,3,-0.33667114197582304,0.33886943331020897,0.6699053693783088
ACY3,9,0.5129764778125738,0.6835504382880168,0.864602638717594
ACYP1,8,-0.9676024831649785,0.1545475772432961,0.4667084651450489
ACYP2,5,-0.4351226549292468,0.30455093292836255,0.6433840201576088
ADA,8,-0.5663420980298914,0.26238488867843424,0.6043673514284961
ADA2,9,1.2549818869390081,0.9031607276069302,0.959862034312345
ADAD1,7,-1.6767016473679697,0.04776587295933601,0.21742859509365467
ADAD2,7,0.9903175452086616,0.8418947001853894,0.9339707484367415
ADAM10,5,-7.487673953075202,3.683236382792508e-16,5.03464541621826e-15
ADAM11,2,0.5676540794245585,0.7045179481105348,0.8739689364843639
ADAM12,3,-0.8082311952269242,0.19413156322645786,0.5259970602879065
ADAM15,2,-2.0210625607852193,0.02981082593631721,0.15688289969329802
ADAM17,6,-0.273903393566116,0.36188837623466846,0.6858802086527949
ADAM18,7,-3.388905532711131,0.007270847282877855,0.056482215703244965
ADAM19,5,0.1626023098837287,0.5386517871971929,0.7933314962098315
ADAM2,6,0.9861141893308232,0.840758269261391,0.9335329597580894
ADAM20,7,-1.5149944718117077,0.06151844680211146,0.2590416507435775
ADAM21,9,-0.07648961977045848,0.4390207835055323,0.7360628168571577
ADAM22,6,0.00645797491322212,0.4730508541698125,0.7554976013254042
ADAM23,6,1.1017032507433373,0.8701945991447751,0.9456916204983259
ADAM28,9,0.5053827083141357,0.6805878662178475,0.8636353759185462
ADAM29,9,0.7993777669307837,0.7854884860489787,0.9093164151444348
ADAM30,7,0.2674462290624014,0.5830766878405804,0.81779688366043
ADAM32,7,0.4302159318622291,0.650661608805704,0.8508634980907405
ADAM33,5,0.9517645814495218,0.8312896396921525,0.9293047904231323
ADAM7,8,1.008527587881341,0.8467614428062307,0.936116440970285
ADAM8,7,-0.8354634069325615,0.18707953875411942,0.5157183469810884
ADAM9,5,0.32249622878896317,0.6062368659354569,0.8305716332733643
ADAMDEC1,10,1.1856635986605217,0.8891336859877985,0.9537428808736823
ADAMTS1,6,-0.23543654379896944,0.3763945459390625,0.6967335073462371
ADAMTS10,8,0.9808092072315905,0.8393170415045426,0.9330155361799116
ADAMTS12,6,0.41668283814146395,0.6451679958503785,0.8480493181301856
ADAMTS13,9,-0.3146926491086792,0.3468336007934759,0.6748041875767942
ADAMTS14,6,2.014379168251916,0.9814398773990134,0.9926404075043493
ADAMTS15,1,0.6462179338236969,0.7334485590425331,0.8869512139042857
ADAMTS16,9,0.08144424611884138,0.5043711246883804,0.7736342866172278
ADAMTS17,9,-0.16563134501726506,0.40341076519508584,0.7151769747244047
ADAMTS18,7,-0.9081567206160122,0.16882703434493768,0.4898475141914216
ADAMTS19,10,-0.9218158889030064,0.16549255653863149,0.4850936319533768
ADAMTS2,4,-0.864874804521325,0.17959366131407284,0.505771974433202
ADAMTS20,5,0.2327302284954354,0.5683871471858257,0.8102309943216249
ADAMTS3,8,1.0194038212296506,0.8496240725387262,0.9375117908037054
ADAMTS4,4,-3.8582718388651847,0.0056476213694697745,0.04819061293223614
ADAMTS5,8,-0.8013914519108092,0.1959210697113487,0.5291575795024123
ADAMTS6,7,-0.09411878702326225,0.4318913212973793,0.7313405099083468
ADAMTS7,5,1.2030958340219016,0.8927996091902525,0.9556547464593316
ADAMTS8,3,2.0644326999832816,0.9838759867177675,0.9934117446861279
ADAMTS9,4,-1.5729954083568574,0.05602356889510748,0.24317243275073439
ADAMTSL1,8,-0.4994307119272565,0.2833782029206046,0.625467433189739
ADAMTSL2,5,-1.8731521058028582,0.03622898738556994,0.17896133293044197
ADAMTSL3,7,-2.2243862285075005,0.02288297694784049,0.12949889434210993
ADAMTSL4,6,0.8918666506864678,0.814015898397302,0.9210128334959164
ADAMTSL5,10,-0.2577915696642267,0.36792910060424816,0.6899796299321846
ADAP1,5,-0.43507994882908624,0.30456532309839446,0.6433840201576088
ADAP2,4,0.29120585546784583,0.5930979740103204,0.8234849324263621
ADAR,9,-3.087515024814873,0.008904347837049593,0.06462413460975977
ADARB1,1,0.4439445427477835,0.6562038579692935,0.8535216858600119
ADAT1,6,-0.23412014718964883,0.3768960045610079,0.697174510347687
ADAT2,7,-10.111078427130778,1.2506341498183946e-71,2.163906585345723e-70
ADAT3,10,-1.304118651140359,0.08815361617235384,0.32880375666578215
ADCK1,4,-0.4950520075947707,0.2847884714616429,0.6269743789031453
ADCK2,2,-0.1924135913257153,0.3929462004776617,0.7086696690949479
ADCK5,5,-5.024711041590599,0.0025959145827908,0.026909983294531536
ADCY10,5,0.3964713435903655,0.6369107729150185,0.8444681352193197
ADCY2,7,-4.976477128364404,0.002774385673605719,0.028587379017824866
ADCY3,5,0.42862061869388546,0.6500155424098925,0.8506123848238014
ADCY4,7,0.3550551823202198,0.619815217269428,0.836628663310332
ADCY6,3,0.37237253814957855,0.6269899300925056,0.8405432078940578
ADCY7,9,0.1108265194818459,0.5167485367709173,0.7802917952676911
ADCY8,6,-0.6929034642897756,0.22532783994609867,0.5665308517131732
ADCY9,6,-0.47378551842799477,0.2917028323588567,0.6328629506752187
ADCYAP1,5,-0.3776978024904134,0.32429327456623547,0.6600361334224599
ADCYAP1R1,1,-1.90072831266269,0.03491892594436155,0.17470568912051762
ADD1,7,-1.5731633177129218,0.05600864436306965,0.24317243275073439
ADD2,4,-0.37514430375175367,0.32518920989172406,0.6608387864315077
ADD3,6,-2.4477133329374596,0.01734302631573075,0.10577845161940207
ADGB,5,-0.6228316499707574,0.2454410461387962,0.588672606055739
ADGRA1,6,-4.915797621054995,0.003007573299998792,0.03073847384086475
ADGRA2,6,-0.8488338761620525,0.18365962518277126,0.5112775647131669
ADGRA3,7,-0.7709769532331137,0.20396851253594506,0.5400916834255906
ADGRB1,5,-1.8834849262528424,0.035731074457475476,0.17721103436505828
ADGRB2,6,-1.750813049975164,0.042884099027144906,0.20159913498095844
ADGRB3,5,-0.228658478630522,0.37897998194168137,0.69863459030328
ADGRD1,7,-2.294530251704307,0.020919120218541844,0.12134665519929323
ADGRE1,8,0.35095023269543263,0.6181093867661815,0.8355038242908662
ADGRE2,5,0.3452391780496329,0.6157330521859397,0.8344000593046649
ADGRE3,10,-0.042520364634590815,0.45286564400353924,0.7442203093489105
ADGRE5,7,0.27012131227315633,0.5842065401271189,0.8184701542214357
ADGRF1,4,-0.041206900201055996,0.4534036557808715,0.7442203093489105
ADGRF3,9,-0.27123468813250623,0.36288535439055103,0.6866666835234996
ADGRF4,9,0.7062573044012187,0.7545495795885631,0.8952786606047087
ADGRF5,6,0.7333348684838672,0.763772199321872,0.9005789367825292
ADGRG1,10,-0.680511758856695,0.22881641131284725,0.5707193029575547
ADGRG2,6,0.14715677867118426,0.5321085557234038,0.7890802723987462
ADGRG3,5,0.9229256061526472,0.823092685397681,0.9250175997054251
ADGRG4,7,-0.08295107764659342,0.4364030880591808,0.7342883584359708
ADGRG5,5,-1.132722381133305,0.1185139582120496,0.39694605911441805
ADGRG6,5,0.5435745240291309,0.6953645604333425,0.8699083419427552
ADGRG7,5,0.7832898137132307,0.7803007452283173,0.9068360012112877
ADGRL1,8,-5.302947754217092,0.0016897934915815827,0.018217151193938057
ADGRL2,7,0.2932341322725625,0.5939518616210605,0.8243533043026806
ADGRL3,3,0.8231728387303454,0.7930397455329047,0.9121507980301066
ADGRL4,8,-0.4928437933952683,0.2855014085799648,0.6276243262797246
ADGRV1,9,0.7328987329722794,0.7636251128941423,0.9005789367825292
ADH1A,6,1.1731503321796415,0.8864452496162429,0.9529972434262914
ADH1B,6,-0.14799921250565096,0.41036293701955956,0.7196402204197506
ADH1C,8,0.19818487053336536,0.5537403081344288,0.8016308173026273
ADH4,8,0.03751112895905552,0.4859672349250941,0.7642122203999501
ADH5,9,-1.5257672670016442,0.060445002041403295,0.2560124575673849
ADH6,8,-0.3156637077843623,0.34647949432267316,0.6747118074162188
ADH7,6,0.9855349683949574,0.8406012870453964,0.9335329597580894
ADHFE1,7,0.3549728988785956,0.6197810425850558,0.836628663310332
ADI1,7,1.7268351887387292,0.9632629064651483,0.9838818405892481
ADIG,8,0.44480422792149876,0.6565498477710974,0.8535657939806403
ADIPOQ,8,-0.21348623108726567,0.3847978750473522,0.7027466083140265
ADIPOR1,4,1.4346476639917154,0.9327179277887188,0.971845025272818
ADIPOR2,5,1.0699142514674822,0.8624799151002853,0.9431719011324347
ADIRF,6,-0.4724870950098221,0.2921284902894123,0.6330905261358254
ADISSP,4,-0.6577143417206692,0.23530953303631097,0.5768750720943431
ADK,8,-1.9430546888988927,0.03301754969862576,0.16798667493067462
ADM,2,-0.6443952360650941,0.23914939316038183,0.5810816185723424
ADM2,6,1.1084482382928778,0.8717935427948664,0.9465977358191581
ADNP,5,-2.2094543634536112,0.02332861698974931,0.13129745409501273
ADNP2,4,-1.6841614833067409,0.04723971119117096,0.21613525708847017
ADO,3,-2.227803200168528,0.022782365223688428,0.12899301389549084
ADORA1,3,1.0065434383402228,0.8462356456535203,0.9359057071017061
ADORA2A,6,-1.1853366430245265,0.10836189427333369,0.37601975702163976
ADORA2B,6,0.38410538158359575,0.6318297528039056,0.8427496794617559
ADORA3,7,0.2891568057481393,0.59223506430587,0.8229922896377027
ADPGK,3,-2.1132951886866116,0.02643352186116874,0.14413217567108094
ADPRH,5,0.2572610494624739,0.578771770412168,0.8160745774128505
ADPRHL1,7,-0.3557199162456608,0.3320539134222391,0.6653793927298691
ADPRM,9,-14.168869902359782,8.568781603507028e-248,2.2097389389262592e-246
ADPRS,5,1.0776187640218924,0.8643766345238202,0.9437517479730564
ADRA1A,3,-0.663744152852812,0.2335825048497467,0.5749559191613859
ADRA1B,4,1.3741233739642715,0.9238331292015947,0.9675243320920963
ADRA1D,5,-0.5451664084532076,0.2689171717541813,0.6116743878280049
ADRA2A,2,-0.19583839010548612,0.3916166679342463,0.7079612201498638
ADRA2B,5,-0.2599303008602073,0.36712427110849,0.689492350417173
ADRA2C,7,-0.3116512957187183,0.3479439806510781,0.6756716838009744
ADRB1,3,-0.24439234256376594,0.37299165504127824,0.6938713483163066
ADRB2,7,-1.1126917942473036,0.12256130123643139,0.40518208116289234
ADRM1,4,-3.2121904522902076,0.008082618225122316,0.060425973954706516
ADSL,6,-17.811593921847635,0.0,0.0
ADSS1,7,-0.7523309619804748,0.20897596550580116,0.5481227318122841
ADSS2,3,-9.320646390296844,4.221227711447988e-50,6.845714390807875e-49
ADTRP,10,-0.5017400794509361,0.2826362467204599,0.6247962128501661
AEBP1,6,-0.8690965997009558,0.17853028406038068,0.5047034933254295
AEBP2,9,-1.1985705239872255,0.10592141847588651,0.37089197116848627
AEN,7,-0.8311608988292696,0.18818598808308568,0.5173881294850581
AFAP1,7,-1.3036365237423777,0.08822783622071889,0.3290155796796741
AFAP1L1,4,-0.29109820418173654,0.3554995629756026,0.6812959644964923
AFAP1L2,7,2.031331399617946,0.9822873143041035,0.9928037987210352
AFDN,9,1.5292719964102834,0.9446181532493648,0.9768790700535801
AFF1,5,-1.8838333325231884,0.035714435279741844,0.17718302096601493
AFF2,4,0.38133625225156315,0.6306891006119674,0.842314217100842
AFF3,8,1.3391638963403865,0.9182134357217842,0.9653807724530665
AFF4,6,0.5431727508553272,0.6952107414499824,0.8699083419427552
AFG1L,8,-0.9906581763803217,0.14917850072006017,0.45714976592411943
